geometry,name
POINT (29.1037209999916 40.9777690005503),2
POINT (28.8993379999867 41.0491420005615),8
POINT (28.8887549999864 41.0405850005601),8
POINT (28.943422999988 41.0675630005645),17
POINT (29.0174389999898 41.0789060005665),9
POINT (29.0157609765359 41.094538999929),9
POINT (29.0183889740866 41.0933660440096),9
POINT (29.0301930274956 41.0795119706547),9
POINT (29.0107179881511 41.0634789933891),9
POINT (29.0061629999896 41.0563610005628),9
POINT (29.0021219999895 41.0541750005624),9
POINT (29.0047409999896 41.0590920005633),9
POINT (29.0002169999895 41.0533460005623),9
POINT (29.0009329999895 41.0500150005617),30
POINT (29.0000229999893 41.0474590005612),9
POINT (29.0021229999895 41.0433500005607),9
POINT (28.9984309999895 41.0430900005606),9
POINT (29.0082689999896 41.0657070005643),9
POINT (29.0004259999895 41.0451650005609),9
POINT (29.0013559709367 41.0579129690053),9
POINT (29.0016689999895 41.0493670005616),9
POINT (29.1466009999922 41.0057700005548),34
POINT (29.137585999992 41.007064000555),34
POINT (28.8502920458175 41.0268040266971),4
POINT (28.9870179999892 41.0474280005613),30
POINT (28.9911419999891 41.0754920005659),30
POINT (29.134333999992 41.0230100005575),34
POINT (29.1497839999922 41.0045000005546),34
POINT (29.1309819999919 41.0039230005545),34
POINT (28.9929389999892 41.0993450005697),22
POINT (28.9730819999887 41.0960830005692),22
POINT (28.9670439999887 41.0391180005599),12
POINT (29.1288129999919 41.0238350005576),34
POINT (28.9887319999891 41.0867400005677),22
POINT (28.9876430000116 41.037317999116),12
POINT (28.9931899778288 41.0345740087649),12
POINT (29.1808609999926 41.0046810005547),34
POINT (29.1003619999913 41.014141000556),34
POINT (28.9748289999888 41.0924110005686),22
POINT (28.9903290363563 41.0663149566588),30
POINT (29.1087539999916 40.9942500005529),2
POINT (29.3262319999945 40.8707020005334),33
POINT (29.3248750000088 40.8733109991196),33
POINT (29.3236849999944 40.8752650005341),33
POINT (29.4014929999951 40.9136940005403),33
POINT (29.4097709999951 40.9167290005407),33
POINT (29.3463599999945 40.9275110005424),33
POINT (29.3225079999944 40.874797000534),33
POINT (29.3473349999946 40.9030900005385),33
POINT (29.3343449999945 40.8702150005334),33
POINT (29.3344820418399 40.8702720231473),33
POINT (29.4072160232221 40.9231489888859),33
POINT (29.3658099999949 40.8309790005272),33
POINT (29.370079999995 40.8361640005281),33
POINT (29.292067049059 40.8562989607161),33
POINT (29.2971889999942 40.84907600053),33
POINT (29.2989179999942 40.8497950005301),33
POINT (29.1293169756186 41.1412139916222),10
POINT (29.1626320077452 41.1311739983642),10
POINT (29.1848599999924 41.1518340005783),10
POINT (29.0864040000113 41.1400399991139),10
POINT (29.0837750000113 41.1525089991137),10
POINT (29.0938400281442 41.1657710252022),10
POINT (29.0964700000112 41.0953649991149),10
POINT (28.6755049999746 41.0638350005635),7
POINT (28.6759499999735 41.065642000563),7
POINT (28.6775879999747 41.067523000564),7
POINT (28.6782349999748 41.0707770005645),7
POINT (28.680969999975 41.0722480005648),7
POINT (28.6840409999747 41.0683540005637),7
POINT (28.6841859999753 41.0687740005642),7
POINT (28.8109789999831 41.0910960005681),7
POINT (28.8107059999831 41.0851000005672),7
POINT (28.809635999983 41.0819630005667),7
POINT (28.8032000000098 41.1114299991143),7
POINT (28.8039309999823 41.1016250005696),7
POINT (28.8058299593061 41.0963969718325),7
POINT (28.75354199998 41.0967480005689),7
POINT (28.8038169999827 41.1047280005704),7
POINT (29.1487929999922 40.9930170005528),2
POINT (29.074875999991 41.0268600005581),35
POINT (29.070447999991 40.9939180005528),35
POINT (29.0751050000113 41.0544399991157),35
POINT (29.0755039999909 41.0541550005625),35
POINT (29.0834719999913 40.9861270005517),21
POINT (29.0242299983453 40.9940730008421),21
POINT (28.9034739999868 41.0598620005633),19
POINT (28.9046749999868 41.0657250005642),19
POINT (28.9626079999887 41.0096720005552),18
POINT (28.9332779794451 40.999190008683),18
POINT (28.9536440000115 41.0285359991162),18
POINT (28.9452859999882 41.0091820005552),18
POINT (28.9444189999882 41.0004060005538),18
POINT (29.0001639999895 41.0531530005622),30
POINT (29.0060489681075 41.0603689873892),9
POINT (29.0822019999911 41.026461000558),34
POINT (29.0463089999905 41.007588000555),21
POINT (29.01981599999 41.0105680005554),35
POINT (29.062867007469 41.0353129662865),35
POINT (29.0673749999908 41.0711290005652),35
POINT (29.0531669999906 41.032537000559),35
POINT (28.8433359999849 40.9855800005513),6
POINT (29.0665679999907 41.0871960005678),10
POINT (28.7561099999798 41.0721950005649),7
POINT (29.1238049999917 41.050483000562),34
POINT (29.0871410008806 41.0688650093298),10
POINT (29.2660469999933 41.1766180005824),10
POINT (29.080046999991 41.0807770005668),10
POINT (29.1412109999918 41.1389570005762),10
POINT (28.679998999975 41.0627140005633),16
POINT (28.6778819999748 41.0691390005643),7
POINT (28.8108229999831 41.0909480005681),7
POINT (28.810464999983 41.1147380005719),7
POINT (28.7193990000072 41.0899289991147),7
POINT (28.7605439999804 41.0992360005694),7
POINT (29.0680119999907 41.1037810005704),10
POINT (29.0954509999911 41.1157600005724),10
POINT (29.0979389999911 41.1221580005735),10
POINT (29.0872819999909 41.144424000577),10
